frameNumber,captureTime,arrivalTime
0,2026-07-20T08:43:05.334968+00:00,1784536985.3359764
1,2026-07-20T08:43:05.370068+00:00,1784536985.3710752
2,2026-07-20T08:43:05.404819+00:00,1784536986.8108718
3,2026-07-20T08:43:05.439540+00:00,1784536986.867975
4,2026-07-20T08:43:05.474565+00:00,1784536986.9235277
5,2026-07-20T08:43:05.509389+00:00,1784536986.9799597
6,2026-07-20T08:43:05.544297+00:00,1784536987.034027
7,2026-07-20T08:43:05.579412+00:00,1784536987.0855
8,2026-07-20T08:43:05.614834+00:00,1784536987.1409235
9,2026-07-20T08:43:05.650135+00:00,1784536987.1950881
10,2026-07-20T08:43:05.685195+00:00,1784536987.2539268
11,2026-07-20T08:43:05.719993+00:00,1784536987.309444
12,2026-07-20T08:43:05.754612+00:00,1784536987.367416
13,2026-07-20T08:43:05.789587+00:00,1784536987.4224684
14,2026-07-20T08:43:05.824202+00:00,1784536987.478722
15,2026-07-20T08:43:05.859156+00:00,1784536987.5341835
16,2026-07-20T08:43:05.893872+00:00,1784536987.5908277
17,2026-07-20T08:43:05.928730+00:00,1784536987.6422417
18,2026-07-20T08:43:05.963531+00:00,1784536987.698016
19,2026-07-20T08:43:05.998311+00:00,1784536987.7605355
20,2026-07-20T08:43:06.033221+00:00,1784536987.8115635
21,2026-07-20T08:43:06.067989+00:00,1784536987.8652313
22,2026-07-20T08:43:06.102923+00:00,1784536987.919226
23,2026-07-20T08:43:06.137617+00:00,1784536987.9755373
24,2026-07-20T08:43:06.172569+00:00,1784536988.029522
25,2026-07-20T08:43:06.207249+00:00,1784536988.083064
26,2026-07-20T08:43:06.242037+00:00,1784536988.1342487
27,2026-07-20T08:43:06.276837+00:00,1784536988.1897366
28,2026-07-20T08:43:06.311539+00:00,1784536988.2423189
29,2026-07-20T08:43:06.346361+00:00,1784536988.2949839
30,2026-07-20T08:43:06.381009+00:00,1784536988.3531802
31,2026-07-20T08:43:06.415933+00:00,1784536988.4057515
32,2026-07-20T08:43:06.450554+00:00,1784536988.4589834
33,2026-07-20T08:43:06.485360+00:00,1784536988.5197992
34,2026-07-20T08:43:06.520149+00:00,1784536988.5717366
35,2026-07-20T08:43:06.554844+00:00,1784536988.6204493
36,2026-07-20T08:43:06.589699+00:00,1784536988.6714616
37,2026-07-20T08:43:06.624328+00:00,1784536988.7227957
38,2026-07-20T08:43:06.659762+00:00,1784536988.776137
39,2026-07-20T08:43:06.694809+00:00,1784536988.8295665
40,2026-07-20T08:43:06.730172+00:00,1784536988.892259
41,2026-07-20T08:43:06.765149+00:00,1784536988.950403
42,2026-07-20T08:43:06.800436+00:00,1784536989.0002506
43,2026-07-20T08:43:06.835067+00:00,1784536989.0588655
44,2026-07-20T08:43:06.869970+00:00,1784536989.1134338
45,2026-07-20T08:43:06.905039+00:00,1784536989.1653578
46,2026-07-20T08:43:06.939431+00:00,1784536989.2181878
47,2026-07-20T08:43:06.974626+00:00,1784536989.2722788
48,2026-07-20T08:43:07.008820+00:00,1784536989.3268738
49,2026-07-20T08:43:07.043834+00:00,1784536989.3860931
50,2026-07-20T08:43:07.078979+00:00,1784536989.4386902
51,2026-07-20T08:43:07.113396+00:00,1784536989.4921641
52,2026-07-20T08:43:07.147845+00:00,1784536989.5455182
53,2026-07-20T08:43:07.182568+00:00,1784536989.6017418
54,2026-07-20T08:43:07.218000+00:00,1784536989.658374
55,2026-07-20T08:43:07.252920+00:00,1784536989.7218952
56,2026-07-20T08:43:07.288404+00:00,1784536989.776255
57,2026-07-20T08:43:07.323326+00:00,1784536989.8116317
58,2026-07-20T08:43:07.359403+00:00,1784536989.8423977
59,2026-07-20T08:43:07.394296+00:00,1784536989.8945522
60,2026-07-20T08:43:07.429583+00:00,1784536989.946409
61,2026-07-20T08:43:07.464689+00:00,1784536990.009665
62,2026-07-20T08:43:07.499653+00:00,1784536990.0625494
63,2026-07-20T08:43:07.535123+00:00,1784536990.1156726
64,2026-07-20T08:43:07.573145+00:00,1784536990.1694636
65,2026-07-20T08:43:07.609704+00:00,1784536990.2220576
66,2026-07-20T08:43:07.644098+00:00,1784536990.2765257
67,2026-07-20T08:43:07.679210+00:00,1784536990.328713
68,2026-07-20T08:43:07.713646+00:00,1784536990.3845692
69,2026-07-20T08:43:07.748771+00:00,1784536990.434652
70,2026-07-20T08:43:07.783910+00:00,1784536990.4856353
71,2026-07-20T08:43:07.818617+00:00,1784536990.5387099
72,2026-07-20T08:43:07.854050+00:00,1784536990.5986874
73,2026-07-20T08:43:07.889102+00:00,1784536990.6528435
