Stage,Avg_ms,Median_ms,Min_ms,Max_ms,P95_ms,StdDev_ms
Camera Capture,15.0,15.0,10.0,22.0,18.0,2.5
Frame Decode,2.0,2.0,1.5,4.0,3.0,0.5
Face Detection,12.0,11.5,9.0,25.0,15.0,3.0
Face Alignment,1.0,1.0,0.5,2.0,1.5,0.2
Face Crop,0.5,0.5,0.2,1.0,0.8,0.1
Anti-Spoof Inference,0.5,0.4,0.2,2.0,0.8,0.1
rPPG Processing,1.2,1.1,0.8,3.5,2.0,0.3
Fusion,0.1,0.1,0.05,0.5,0.2,0.05
Decision Generation,0.1,0.1,0.05,0.3,0.2,0.02
UI Rendering,16.0,16.0,15.0,20.0,18.0,1.0
TOTAL PIPELINE,48.4,47.7,37.8,80.3,59.5,7.77
