Timestamp,CPU_pct,RAM_MB,GPU_Mem_MB,GPU_Util_pct,Disk_IO_MBps,Net_IO_KBps,ThreadCount,FileHandles,QueueLength
0,24.2,259.2,0,0,0.5,120.0,16,128,0
1,22.3,257.8,0,0,0.5,120.0,15,128,0
2,18.3,250.6,0,0,0.5,120.0,13,128,0
3,19.5,258.9,0,0,0.5,120.0,12,128,0
4,23.2,252.8,0,0,0.5,120.0,15,128,0
5,23.1,256.6,0,0,0.5,120.0,14,128,0
6,23.5,252.1,0,0,0.5,120.0,14,128,0
7,19.3,251.0,0,0,0.5,120.0,12,128,0
8,24.8,259.7,0,0,0.5,120.0,14,128,0
9,24.2,257.9,0,0,0.5,120.0,13,128,0
10,23.8,253.7,0,0,0.5,120.0,13,128,0
11,19.5,250.2,0,0,0.5,120.0,13,128,0
12,21.1,250.1,0,0,0.5,120.0,13,128,0
13,23.2,259.0,0,0,0.5,120.0,12,128,0
14,20.0,255.9,0,0,0.5,120.0,15,128,0
15,19.7,252.0,0,0,0.5,120.0,12,128,0
16,17.7,254.6,0,0,0.5,120.0,12,128,0
17,16.2,250.5,0,0,0.5,120.0,16,128,0
18,20.9,252.9,0,0,0.5,120.0,12,128,0
19,23.1,256.9,0,0,0.5,120.0,16,128,0
20,22.6,251.0,0,0,0.5,120.0,14,128,0
21,20.7,258.2,0,0,0.5,120.0,15,128,0
22,16.2,250.3,0,0,0.5,120.0,15,128,0
23,16.6,258.3,0,0,0.5,120.0,14,128,0
24,17.5,259.6,0,0,0.5,120.0,15,128,0
25,20.6,254.1,0,0,0.5,120.0,15,128,0
26,23.2,250.7,0,0,0.5,120.0,14,128,0
27,19.8,258.5,0,0,0.5,120.0,14,128,0
28,17.7,257.7,0,0,0.5,120.0,13,128,0
29,15.2,256.0,0,0,0.5,120.0,16,128,0
30,20.5,251.3,0,0,0.5,120.0,12,128,0
31,20.0,254.5,0,0,0.5,120.0,12,128,0
32,18.4,255.4,0,0,0.5,120.0,13,128,0
33,16.8,256.5,0,0,0.5,120.0,14,128,0
34,24.2,251.2,0,0,0.5,120.0,16,128,0
35,24.2,252.2,0,0,0.5,120.0,13,128,0
36,19.5,258.8,0,0,0.5,120.0,15,128,0
37,20.1,255.9,0,0,0.5,120.0,13,128,0
38,15.5,250.1,0,0,0.5,120.0,16,128,0
39,18.5,250.2,0,0,0.5,120.0,12,128,0
40,22.1,250.1,0,0,0.5,120.0,13,128,0
41,23.1,251.5,0,0,0.5,120.0,12,128,0
42,15.1,258.0,0,0,0.5,120.0,14,128,0
43,22.2,259.1,0,0,0.5,120.0,12,128,0
44,19.9,259.7,0,0,0.5,120.0,15,128,0
45,24.3,259.1,0,0,0.5,120.0,15,128,0
46,23.5,255.3,0,0,0.5,120.0,15,128,0
47,24.4,255.5,0,0,0.5,120.0,16,128,0
48,15.1,259.4,0,0,0.5,120.0,13,128,0
49,21.5,259.1,0,0,0.5,120.0,15,128,0
50,16.4,259.2,0,0,0.5,120.0,13,128,0
51,20.5,252.7,0,0,0.5,120.0,14,128,0
52,17.0,256.3,0,0,0.5,120.0,13,128,0
53,19.1,258.9,0,0,0.5,120.0,14,128,0
54,20.4,254.3,0,0,0.5,120.0,15,128,0
55,22.5,259.1,0,0,0.5,120.0,16,128,0
56,16.4,253.2,0,0,0.5,120.0,16,128,0
57,16.5,251.8,0,0,0.5,120.0,15,128,0
58,15.4,253.0,0,0,0.5,120.0,15,128,0
59,22.3,257.7,0,0,0.5,120.0,15,128,0
