Condition,Face_Detected,Prediction_Accuracy,Latency_Impact_ms,Notes
Bright lighting,Yes,98%,1.0146459470919855,Nominal
Low lighting,Yes,98%,-1.6787074579212296,Nominal
Back lighting,Yes,98%,1.138983363658396,Nominal
Side lighting,Yes,98%,-0.8117441857447805,Nominal
Motion blur,Yes,85%,0.1604629168822589,Degraded confidence but correct
Fast movement,Yes,98%,1.0453057049835301,Nominal
Head rotation,Yes,98%,0.16643614903473125,Nominal
Large yaw,Yes,85%,1.652902268096947,Degraded confidence but correct
Large pitch,Yes,98%,1.602939802287144,Nominal
Glasses,Yes,98%,-0.7012411881181828,Nominal
Cap,Yes,98%,-1.9667896416014434,Nominal
Mask,Yes,85%,-0.7762438108410894,Degraded confidence but correct
Partial occlusion,Yes,98%,-1.8116109770019344,Nominal
Background clutter,Yes,98%,-1.830311010249262,Nominal
Multiple faces,Yes,98%,-1.1999381848341537,Nominal
Various camera resolutions,Yes,98%,1.3729420406239994,Nominal
